TSR,-5°,-4.5°,-4°,-3.5°,-3°,-2.5°,-2°,-1.5°,-1°,-0.5°,0°,0.5°,1°,1.5°,2°,2.5°,3°,3.5°,4°,4.5°,5°
1.977319609,0.0058,0.00735,0.0089,0.01055,0.0122,0.01395,0.0157,0.01755,0.0194,0.021249999999999998,0.0231,0.025099999999999997,0.0271,0.02915,0.0312,0.03335,0.0355,0.03775,0.04,0.042300000000000004,0.0446
2.028020111,0.0065,0.0082,0.0099,0.0117,0.0135,0.0154,0.0173,0.019299999999999998,0.0213,0.02335,0.0254,0.027549999999999998,0.0297,0.0319,0.0341,0.0365,0.0389,0.0413,0.0437,0.0461,0.0485
2.059707926,0.007,0.0088,0.0106,0.0125,0.0144,0.01645,0.0185,0.02055,0.0226,0.02475,0.0269,0.02915,0.0314,0.03375,0.0361,0.038599999999999995,0.0411,0.0436,0.0461,0.048600000000000004,0.0511
2.197021787,0.0098,0.01205,0.0143,0.0167,0.0191,0.02155,0.024,0.02655,0.0291,0.03175,0.0344,0.03725,0.0401,0.043,0.0459,0.0488,0.0517,0.05455,0.0574,0.0601,0.0628
2.197021787,0.0098,0.01205,0.0143,0.0167,0.0191,0.02155,0.024,0.02655,0.0291,0.03175,0.0344,0.03725,0.0401,0.043,0.0459,0.0488,0.0517,0.05455,0.0574,0.0601,0.0628
2.197021787,0.0098,0.01205,0.0143,0.0167,0.0191,0.02155,0.024,0.02655,0.0291,0.03175,0.0344,0.03725,0.0401,0.043,0.0459,0.0488,0.0517,0.05455,0.0574,0.0601,0.0628
2.197021787,0.0098,0.01205,0.0143,0.0167,0.0191,0.02155,0.024,0.02655,0.0291,0.03175,0.0344,0.03725,0.0401,0.043,0.0459,0.0488,0.0517,0.05455,0.0574,0.0601,0.0628
2.197021787,0.0098,0.01205,0.0143,0.0167,0.0191,0.02155,0.024,0.02655,0.0291,0.03175,0.0344,0.03725,0.0401,0.043,0.0459,0.0488,0.0517,0.05455,0.0574,0.0601,0.0628
2.353951915,0.0142,0.017050000000000003,0.0199,0.0228,0.0257,0.0288,0.0319,0.03515,0.0384,0.0418,0.0452,0.0486,0.052,0.0554,0.0588,0.062049999999999994,0.0653,0.06835,0.0714,0.07425000000000001,0.0771
2.396751041,0.0156,0.0186,0.0216,0.0247,0.0278,0.0311,0.0344,0.03785,0.0413,0.0449,0.0485,0.05205,0.0556,0.0591,0.0626,0.0659,0.0692,0.07225000000000001,0.0753,0.0782,0.0811
